# Comparacao MATLAB (analitico) x PSIM - caso criticamente_amortecido (R = 62 ohm, L = 100 mH, C = 100 uF, Vs = 100 V)
Time(s)     IT_calc(A)    IT_psim(A)    Erro_IT(A)    Erro_IT(%)  VC_calc(V)    VC_psim(V)    Erro_VC(V)    Erro_VC(%)  
1.0000e-03  7.329703e-01  6.480663e-01  8.490399e-02  13.101      4.076200e+00  5.112991e+00  -1.036790e+00 -20.278     
2.0000e-03  1.073094e+00  9.694677e-01  1.036260e-01  10.689      1.335870e+01  1.416445e+01  -8.057527e-01 -5.689      
3.0000e-03  1.176749e+00  1.125881e+00  5.086760e-02  4.518       2.475583e+01  2.464120e+01  1.146340e-01  0.465       
4.0000e-03  1.145536e+00  1.125318e+00  2.021836e-02  1.797       3.644816e+01  3.589719e+01  5.509624e-01  1.535       
5.0000e-03  1.044079e+00  1.040722e+00  3.356292e-03  0.322       4.743510e+01  4.672739e+01  7.077020e-01  1.515       
6.0000e-03  9.123323e-01  9.174580e-01  -5.125704e-03 -0.559      5.723053e+01  5.651829e+01  7.122376e-01  1.260       
7.0000e-03  7.740295e-01  7.827166e-01  -8.687004e-03 -1.110      6.566103e+01  6.501917e+01  6.418589e-01  0.987       
8.0000e-03  6.424218e-01  6.519212e-01  -9.499404e-03 -1.457      7.273416e+01  7.219236e+01  5.418022e-01  0.750       
9.0000e-03  5.241427e-01  5.330367e-01  -8.893991e-03 -1.669      7.855433e+01  7.811715e+01  4.371840e-01  0.560       
1.0000e-02  4.217758e-01  4.294367e-01  -7.660911e-03 -1.784      8.327031e+01  8.292951e+01  3.407961e-01  0.411       
1.1000e-02  3.355346e-01  3.417830e-01  -6.248407e-03 -1.828      8.704374e+01  8.678561e+01  2.581248e-01  0.297       
1.2000e-02  2.643422e-01  2.692356e-01  -4.893416e-03 -1.818      9.003123e+01  8.984070e+01  1.905238e-01  0.212       
1.3000e-02  2.065071e-01  2.102132e-01  -3.706083e-03 -1.763      9.237512e+01  9.223795e+01  1.371766e-01  0.149       
1.4000e-02  1.601321e-01  1.628557e-01  -2.723530e-03 -1.672      9.419957e+01  9.410329e+01  9.627343e-02  0.102       
1.5000e-02  1.233496e-01  1.252929e-01  -1.943367e-03 -1.551      9.560972e+01  9.554404e+01  6.568868e-02  0.069       
1.6000e-02  9.444584e-02  9.578985e-02  -1.344010e-03 -1.403      9.669280e+01  9.664945e+01  4.334693e-02  0.045       
1.7000e-02  7.191674e-02  7.281330e-02  -8.965585e-04 -1.231      9.751986e+01  9.749247e+01  2.739939e-02  0.028       
1.8000e-02  5.448197e-02  5.505332e-02  -5.713586e-04 -1.038      9.814809e+01  9.813180e+01  1.628990e-02  0.017       
1.9000e-02  4.107626e-02  4.141758e-02  -3.413219e-04 -0.824      9.862291e+01  9.861415e+01  8.759620e-03  0.009       
2.0000e-02  3.082879e-02  3.101211e-02  -1.833161e-04 -0.591      9.898012e+01  9.897630e+01  3.820820e-03  0.004       
