# Comparacao MATLAB (analitico) x PSIM - caso subamortecido (R = 20 ohm, L = 100 mH, C = 100 uF, Vs = 100 V)
Time(s)     IT_calc(A)    IT_psim(A)    Erro_IT(A)    Erro_IT(%)  VC_calc(V)    VC_psim(V)    Erro_VC(V)    Erro_VC(%)  
1.0000e-03  8.913258e-01  8.296296e-01  6.169618e-02  7.437       4.644322e+00  6.370370e+00  -1.726049e+00 -27.095     
2.0000e-03  1.540967e+00  1.415901e+00  1.250660e-01  8.833       1.701756e+01  1.921778e+01  -2.200214e+00 -11.449     
3.0000e-03  1.934343e+00  1.819321e+00  1.150221e-01  6.322       3.460657e+01  3.539389e+01  -7.873145e-01 -2.224      
4.0000e-03  2.082548e+00  1.989304e+00  9.324453e-02  4.687       5.488495e+01  5.443701e+01  4.479412e-01  0.823       
5.0000e-03  2.016704e+00  1.952241e+00  6.446372e-02  3.302       7.554253e+01  7.414473e+01  1.397798e+00  1.885       
6.0000e-03  1.781530e+00  1.748234e+00  3.329576e-02  1.905       9.465382e+01  9.264710e+01  2.006715e+00  2.166       
7.0000e-03  1.428857e+00  1.425097e+00  3.760375e-03  0.264       1.107813e+02  1.085138e+02  2.267590e+00  2.090       
8.0000e-03  1.011684e+00  1.032731e+00  -2.104670e-02 -2.038      1.230164e+02  1.208029e+02  2.213504e+00  1.832       
9.0000e-03  5.791990e-01  6.183203e-01  -3.912133e-02 -6.327      1.309648e+02  1.290581e+02  1.906694e+00  1.477       
1.0000e-02  1.730505e-01  2.226212e-01  -4.957066e-02 -22.267     1.346893e+02  1.332629e+02  1.426430e+00  1.070       
1.1000e-02  -1.750299e-01 -1.225200e-01 -5.250991e-02 42.858      1.346206e+02  1.337634e+02  8.572858e-01  0.641       
1.2000e-02  -4.442820e-01 -3.954121e-01 -4.886988e-02 12.359      1.314527e+02  1.311737e+02  2.789653e-01  0.213       
1.3000e-02  -6.247938e-01 -5.846423e-01 -4.015152e-02 6.868       1.260319e+02  1.262734e+02  -2.415257e-01 -0.191      
1.4000e-02  -7.164265e-01 -6.882634e-01 -2.816311e-02 4.092       1.192539e+02  1.199089e+02  -6.549512e-01 -0.546      
1.5000e-02  -7.270548e-01 -7.122839e-01 -1.477092e-02 2.074       1.119740e+02  1.129062e+02  -9.321241e-01 -0.826      
1.6000e-02  -6.704072e-01 -6.687200e-01 -1.687175e-03 0.252       1.049375e+02  1.060011e+02  -1.063645e+00 -1.003      
1.7000e-02  -5.637703e-01 -5.734591e-01 9.688779e-03  -1.690      9.873267e+01  9.979025e+01  -1.057575e+00 -1.060      
1.8000e-02  -4.257904e-01 -4.441593e-01 1.836888e-02  -4.136      9.376650e+01  9.470216e+01  -9.356544e-01 -0.988      
1.9000e-02  -2.745509e-01 -2.983652e-01 2.381432e-02  -7.982      9.026083e+01  9.098953e+01  -7.287076e-01 -0.801      
2.0000e-02  -1.260493e-01 -1.519688e-01 2.591956e-02  -17.056     8.826600e+01  8.873786e+01  -4.718620e-01 -0.532      
2.1000e-02  6.863234e-03  -1.809008e-02 2.495331e-02  -137.939    8.768746e+01  8.788757e+01  -2.001124e-01 -0.228      
2.2000e-02  1.150659e-01  9.359600e-02  2.146989e-02  22.939      8.832046e+01  8.826510e+01  5.536594e-02  0.063       
2.3000e-02  1.933123e-01  1.771071e-01  1.620521e-02  9.150       8.988851e+01  8.961861e+01  2.698975e-01  0.301       
2.4000e-02  2.399997e-01  2.300290e-01  9.970770e-03  4.335       9.208116e+01  9.165429e+01  4.268698e-01  0.466       
2.5000e-02  2.566524e-01  2.530955e-01  3.556945e-03  1.405       9.458812e+01  9.406992e+01  5.182035e-01  0.551       
2.6000e-02  2.472180e-01  2.495639e-01  -2.345933e-03 -0.940      9.712707e+01  9.658321e+01  5.438610e-01  0.563       
2.7000e-02  2.172731e-01  2.244767e-01  -7.203544e-03 -3.209      9.946402e+01  9.895342e+01  5.106035e-01  0.516       
2.8000e-02  1.732274e-01  1.838959e-01  -1.066857e-02 -5.801      1.014255e+02  1.009953e+02  4.302446e-01  0.426       
2.9000e-02  1.215957e-01  1.341833e-01  -1.258758e-02 -9.381      1.029033e+02  1.025857e+02  3.176630e-01  0.310       
3.0000e-02  6.839390e-02  8.138097e-02  -1.298707e-02 -15.958     1.038523e+02  1.036635e+02  1.888151e-01  0.182       
3.1000e-02  1.868858e-02  3.073190e-02  -1.204332e-02 -39.188     1.042830e+02  1.042241e+02  5.894960e-02  0.057       
3.2000e-02  -2.368648e-02 -1.364462e-02 -1.004186e-02 73.596      1.042507e+02  1.043095e+02  -5.882748e-02 -0.056      
3.3000e-02  -5.625124e-02 -4.891912e-02 -7.332123e-03 14.988      1.038421e+02  1.039967e+02  -1.545473e-01 -0.149      
3.4000e-02  -7.785702e-02 -7.357423e-02 -4.282789e-03 5.821       1.031623e+02  1.033842e+02  -2.219032e-01 -0.215      
3.5000e-02  -8.854837e-02 -8.730628e-02 -1.242083e-03 1.423       1.023215e+02  1.025798e+02  -2.583282e-01 -0.252      
3.6000e-02  -8.934276e-02 -9.083652e-02 1.493758e-03  -1.644      1.014244e+02  1.016891e+02  -2.646856e-01 -0.260      
3.7000e-02  -8.196282e-02 -8.566480e-02 3.701980e-03  -4.321      1.005619e+02  1.008066e+02  -2.446683e-01 -0.243      
3.8000e-02  -6.855363e-02 -7.379785e-02 5.244225e-03  -7.106      9.980527e+01  1.000093e+02  -2.040081e-01 -0.204      
3.9000e-02  -5.141335e-02 -5.748078e-02 6.067428e-03  -10.556     9.920327e+01  9.935288e+01  -1.496072e-01 -0.151      
4.0000e-02  -3.275892e-02 -3.895511e-02 6.196188e-03  -15.906     9.878202e+01  9.887070e+01  -8.868568e-02 -0.090      
4.1000e-02  -1.454152e-02 -2.026022e-02 5.718700e-03  -28.226     9.854660e+01  9.857463e+01  -2.803070e-02 -0.028      
4.2000e-02  1.680657e-03  -3.087953e-03 4.768610e-03  -154.426    9.848448e+01  9.845788e+01  2.659864e-02  0.027       
4.3000e-02  1.481119e-02  1.130595e-02  3.505240e-03  31.004      9.856985e+01  9.849897e+01  7.087426e-02  0.072       
4.4000e-02  2.423029e-02  2.213596e-02  2.094333e-03  9.461       9.876829e+01  9.866618e+01  1.021015e-01  0.103       
4.5000e-02  2.976413e-02  2.907300e-02  6.911329e-04  2.377       9.904146e+01  9.892223e+01  1.192323e-01  0.121       
4.6000e-02  3.161958e-02  3.219251e-02  -5.729341e-04 -1.780      9.935127e+01  9.922856e+01  1.227177e-01  0.124       
4.7000e-02  3.029665e-02  3.189589e-02  -1.599242e-03 -5.014      9.966324e+01  9.954900e+01  1.142381e-01  0.115       
4.8000e-02  2.649040e-02  2.881682e-02  -2.326419e-03 -8.073      9.994892e+01  9.985256e+01  9.635674e-02  0.096       
4.9000e-02  2.099308e-02  2.372364e-02  -2.730556e-03 -11.510     1.001874e+02  1.001153e+02  7.214254e-02  0.072       
5.0000e-02  1.460535e-02  1.742714e-02  -2.821792e-03 -16.192     1.003658e+02  1.003210e+02  4.480169e-02  0.045       
5.1000e-02  8.062756e-03  1.070095e-02  -2.638190e-03 -24.654     1.004790e+02  1.004617e+02  1.735258e-02  0.017       
5.2000e-02  1.981433e-03  4.219322e-03  -2.237889e-03 -53.039     1.005286e+02  1.005363e+02  -7.630141e-03 -0.008      
5.3000e-02  -3.175628e-03 -1.485064e-03 -1.690565e-03 113.838     1.005217e+02  1.005499e+02  -2.819170e-02 -0.028      
5.4000e-02  -7.112440e-03 -6.043330e-03 -1.069110e-03 17.691      1.004692e+02  1.005123e+02  -4.308618e-02 -0.043      
5.5000e-02  -9.696347e-03 -9.254054e-03 -4.422929e-04 4.779       1.003840e+02  1.004358e+02  -5.178561e-02 -0.052      
5.6000e-02  -1.094034e-02 -1.107140e-02 1.310595e-04  -1.184      1.002798e+02  1.003342e+02  -5.441944e-02 -0.054      
5.7000e-02  -1.097549e-02 -1.158154e-02 6.060450e-04  -5.233      1.001692e+02  1.002209e+02  -5.166158e-02 -0.052      
5.8000e-02  -1.001777e-02 -1.097151e-02 9.537445e-04  -8.693      1.000636e+02  1.001081e+02  -4.458415e-02 -0.045      
5.9000e-02  -8.333231e-03 -9.494693e-03 1.161462e-03  -12.233     9.997132e+01  1.000058e+02  -3.449610e-02 -0.034      
6.0000e-02  -6.205038e-03 -7.436445e-03 1.231408e-03  -16.559     9.989837e+01  9.992116e+01  -2.278458e-02 -0.023      
6.1000e-02  -3.904897e-03 -5.083091e-03 1.178194e-03  -23.179     9.984779e+01  9.985856e+01  -1.077418e-02 -0.011      
6.2000e-02  -1.670720e-03 -2.696281e-03 1.025561e-03  -38.036     9.982005e+01  9.981966e+01  3.865946e-04  0.000       
6.3000e-02  3.086381e-04  -4.941231e-04 8.027612e-04  -162.462    9.981352e+01  9.980371e+01  9.804476e-03  0.010       
6.4000e-02  1.901458e-03  1.360462e-03  5.409960e-04  39.766      9.982493e+01  9.980804e+01  1.688464e-02  0.017       
6.5000e-02  3.034641e-03  2.764413e-03  2.702280e-04  9.775       9.985001e+01  9.982867e+01  2.133933e-02  0.021       
6.6000e-02  3.689652e-03  3.673047e-03  1.660505e-05  0.452       9.988402e+01  9.986086e+01  2.316669e-02  0.023       
6.7000e-02  3.894296e-03  4.093654e-03  -1.993579e-04 -4.870      9.992230e+01  9.989969e+01  2.260640e-02  0.023       
6.8000e-02  3.711815e-03  4.075605e-03  -3.637900e-04 -8.926      9.996062e+01  9.994054e+01  2.007980e-02  0.020       
