# Comparacao MATLAB (analitico) x PSIM - caso superamortecido (R = 100 ohm, L = 100 mH, C = 100 uF, Vs = 100 V)
Time(s)     IT_calc(A)    IT_psim(A)    Erro_IT(A)    Erro_IT(%)  VC_calc(V)    VC_psim(V)    Erro_VC(V)    Erro_VC(%)  
1.0000e-03  6.218081e-01  5.374899e-01  8.431814e-02  15.687      3.650404e+00  4.326794e+00  -6.763900e-01 -15.633     
2.0000e-03  8.115738e-01  7.395723e-01  7.200158e-02  9.736       1.103401e+01  1.135533e+01  -3.213245e-01 -2.830      
3.0000e-03  8.305027e-01  8.116351e-01  1.886760e-02  2.325       1.932806e+01  1.911137e+01  2.166884e-01  1.134       
4.0000e-03  7.853974e-01  7.832216e-01  2.175741e-03  0.278       2.743704e+01  2.708565e+01  3.513892e-01  1.297       
5.0000e-03  7.195631e-01  7.220812e-01  -2.518040e-03 -0.349      3.496955e+01  3.461216e+01  3.573805e-01  1.033       
6.0000e-03  6.502306e-01  6.536832e-01  -3.452589e-03 -0.528      4.181772e+01  4.149099e+01  3.267343e-01  0.787       
7.0000e-03  5.839580e-01  5.872719e-01  -3.313866e-03 -0.564      4.798480e+01  4.769576e+01  2.890333e-01  0.606       
8.0000e-03  5.229661e-01  5.258994e-01  -2.933232e-03 -0.558      5.351466e+01  5.326162e+01  2.530402e-01  0.475       
9.0000e-03  4.677408e-01  4.702859e-01  -2.545107e-03 -0.541      5.846341e+01  5.824254e+01  2.208621e-01  0.379       
1.0000e-02  4.180993e-01  4.203019e-01  -2.202615e-03 -0.524      6.288811e+01  6.269548e+01  1.926266e-01  0.307       
1.1000e-02  3.736242e-01  3.755335e-01  -1.909295e-03 -0.508      6.684262e+01  6.667466e+01  1.679586e-01  0.252       
1.2000e-02  3.338381e-01  3.354963e-01  -1.658128e-03 -0.494      7.037622e+01  7.022981e+01  1.464135e-01  0.208       
1.3000e-02  2.982715e-01  2.997132e-01  -1.441713e-03 -0.481      7.353344e+01  7.340586e+01  1.275861e-01  0.174       
1.4000e-02  2.664869e-01  2.677411e-01  -1.254171e-03 -0.468      7.635425e+01  7.624313e+01  1.111269e-01  0.146       
1.5000e-02  2.380865e-01  2.391775e-01  -1.091025e-03 -0.456      7.887446e+01  7.877772e+01  9.673611e-02  0.123       
1.6000e-02  2.127116e-01  2.136604e-01  -9.487960e-04 -0.444      8.112607e+01  8.104191e+01  8.415515e-02  0.104       
1.7000e-02  1.900406e-01  1.908653e-01  -8.246734e-04 -0.432      8.313770e+01  8.306454e+01  7.315936e-02  0.088       
1.8000e-02  1.697857e-01  1.705020e-01  -7.163160e-04 -0.420      8.493493e+01  8.487138e+01  6.355266e-02  0.075       
1.9000e-02  1.516896e-01  1.523113e-01  -6.217277e-04 -0.408      8.654061e+01  8.648544e+01  5.516330e-02  0.064       
2.0000e-02  1.355221e-01  1.360613e-01  -5.391836e-04 -0.396      8.797515e+01  8.792731e+01  4.784067e-02  0.054       
2.1000e-02  1.210778e-01  1.215449e-01  -4.671813e-04 -0.384      8.925679e+01  8.921534e+01  4.145256e-02  0.046       
2.2000e-02  1.081730e-01  1.085774e-01  -4.044071e-04 -0.372      9.040183e+01  9.036595e+01  3.588288e-02  0.040       
2.3000e-02  9.664358e-02  9.699329e-02  -3.497098e-04 -0.361      9.142483e+01  9.139380e+01  3.102971e-02  0.034       
