Time(s)        IT_calc(A)     VC_calc(V)     VR_calc(V)     VL_calc(V)    
1.000000e-03   7.329703e-01   4.076200e+00   4.544416e+01   5.047964e+01  
2.000000e-03   1.073094e+00   1.335870e+01   6.653181e+01   2.010949e+01  
3.000000e-03   1.176749e+00   2.475583e+01   7.295843e+01   2.285738e+00  
4.000000e-03   1.145536e+00   3.644816e+01   7.102323e+01   -7.471388e+00 
5.000000e-03   1.044079e+00   4.743510e+01   6.473287e+01   -1.216797e+01 
6.000000e-03   9.123323e-01   5.723053e+01   5.656460e+01   -1.379513e+01 
7.000000e-03   7.740295e-01   6.566103e+01   4.798983e+01   -1.365086e+01 
8.000000e-03   6.424218e-01   7.273416e+01   3.983015e+01   -1.256431e+01 
9.000000e-03   5.241427e-01   7.855433e+01   3.249685e+01   -1.105118e+01 
1.000000e-02   4.217758e-01   8.327031e+01   2.615010e+01   -9.420407e+00 
1.100000e-02   3.355346e-01   8.704374e+01   2.080314e+01   -7.846879e+00 
1.200000e-02   2.643422e-01   9.003123e+01   1.638922e+01   -6.420445e+00 
1.300000e-02   2.065071e-01   9.237512e+01   1.280344e+01   -5.178567e+00 
1.400000e-02   1.601321e-01   9.419957e+01   9.928192e+00   -4.127758e+00 
1.500000e-02   1.233496e-01   9.560972e+01   7.647674e+00   -3.257398e+00 
1.600000e-02   9.444584e-02   9.669280e+01   5.855642e+00   -2.548439e+00 
1.700000e-02   7.191674e-02   9.751986e+01   4.458838e+00   -1.978703e+00 
1.800000e-02   5.448197e-02   9.814809e+01   3.377882e+00   -1.525970e+00 
1.900000e-02   4.107626e-02   9.862291e+01   2.546728e+00   -1.169641e+00 
2.000000e-02   3.082879e-02   9.898012e+01   1.911385e+00   -8.915074e-01 
2.100000e-02   2.303766e-02   9.924766e+01   1.428335e+00   -6.759956e-01 
2.200000e-02   1.714375e-02   9.944719e+01   1.062913e+00   -5.100994e-01 
2.300000e-02   1.270606e-02   9.959538e+01   7.877759e-01   -3.831550e-01 
2.400000e-02   9.379727e-03   9.970500e+01   5.815431e-01   -2.865469e-01 
2.500000e-02   6.897086e-03   9.978578e+01   4.276194e-01   -2.133985e-01 
2.600000e-02   5.051800e-03   9.984506e+01   3.132116e-01   -1.582764e-01 
2.700000e-02   3.685760e-03   9.988841e+01   2.285171e-01   -1.169255e-01 
2.800000e-02   2.678491e-03   9.991997e+01   1.660665e-01   -8.603912e-02 
2.900000e-02   1.938669e-03   9.994287e+01   1.201975e-01   -6.306478e-02 
3.000000e-02   1.397399e-03   9.995941e+01   8.663875e-02   -4.604475e-02 
3.100000e-02   1.002944e-03   9.997130e+01   6.218254e-02   -3.348574e-02 
3.200000e-02   7.166216e-04   9.997982e+01   4.443054e-02   -2.425477e-02 
3.300000e-02   5.096304e-04   9.998590e+01   3.159708e-02   -1.749634e-02 
3.400000e-02   3.606138e-04   9.999021e+01   2.235806e-02   -1.256753e-02 
3.500000e-02   2.537982e-04   9.999325e+01   1.573549e-02   -8.987236e-03 
3.600000e-02   1.775791e-04   9.999539e+01   1.100991e-02   -6.396990e-03 
3.700000e-02   1.234526e-04   9.999688e+01   7.654062e-03   -4.530780e-03 
3.800000e-02   8.521117e-05   9.999791e+01   5.283093e-03   -3.191993e-03 
3.900000e-02   5.834143e-05   9.999862e+01   3.617169e-03   -2.235879e-03 
4.000000e-02   3.957499e-05   9.999910e+01   2.453650e-03   -1.556289e-03 
4.100000e-02   2.655470e-05   9.999943e+01   1.646391e-03   -1.075682e-03 
4.200000e-02   1.758785e-05   9.999965e+01   1.090447e-03   -7.376385e-04 
4.300000e-02   1.146426e-05   9.999979e+01   7.107841e-04   -5.012710e-04 
4.400000e-02   7.322786e-06   9.999988e+01   4.540128e-04   -3.370694e-04 
4.500000e-02   4.553676e-06   9.999994e+01   2.823279e-04   -2.238253e-04 
4.600000e-02   2.727487e-06   9.999998e+01   1.691042e-04   -1.463633e-04 
4.700000e-02   1.543509e-06   1.000000e+02   9.569758e-05   -9.387533e-05 
4.800000e-02   7.925145e-07   1.000000e+02   4.913590e-05   -5.870139e-05 
4.900000e-02   3.299462e-07   1.000000e+02   2.045667e-05   -3.544115e-05 
5.000000e-02   5.672388e-08   1.000000e+02   3.516880e-06   -2.030897e-05 
5.100000e-02   -9.444704e-08  1.000000e+02   -5.855716e-06  -1.066767e-05 
5.200000e-02   -1.687880e-07  1.000000e+02   -1.046486e-05  -4.692730e-06 
5.300000e-02   -1.963042e-07  1.000000e+02   -1.217086e-05  -1.131707e-06 
5.400000e-02   -1.965975e-07  1.000000e+02   -1.218905e-05  8.675696e-07  
5.500000e-02   -1.822248e-07  1.000000e+02   -1.129794e-05  1.878947e-06  
5.600000e-02   -1.610248e-07  1.000000e+02   -9.983538e-06  2.284139e-06  
5.700000e-02   -1.377190e-07  1.000000e+02   -8.538581e-06  2.333289e-06  
5.800000e-02   -1.150030e-07  1.000000e+02   -7.130187e-06  2.187276e-06  
5.900000e-02   -9.428319e-08  1.000000e+02   -5.845558e-06  1.947067e-06  
6.000000e-02   -7.616859e-08  1.000000e+02   -4.722453e-06  1.673940e-06  
6.100000e-02   -6.079432e-08  1.000000e+02   -3.769248e-06  1.403292e-06  
6.200000e-02   -4.803051e-08  1.000000e+02   -2.977892e-06  1.153981e-06  
6.300000e-02   -3.761435e-08  1.000000e+02   -2.332090e-06  9.345749e-07  
6.400000e-02   -2.923096e-08  1.000000e+02   -1.812319e-06  7.474721e-07  
6.500000e-02   -2.256070e-08  1.000000e+02   -1.398763e-06  5.915755e-07  
6.600000e-02   -1.730501e-08  1.000000e+02   -1.072910e-06  4.639884e-07  
6.700000e-02   -1.319872e-08  1.000000e+02   -8.183207e-07  3.610602e-07  
6.800000e-02   -1.001425e-08  1.000000e+02   -6.208836e-07  2.790046e-07  
6.900000e-02   -7.561029e-09  1.000000e+02   -4.687838e-07  2.142420e-07  
7.000000e-02   -5.682496e-09  1.000000e+02   -3.523148e-07  1.635687e-07  
7.100000e-02   -4.251956e-09  1.000000e+02   -2.636213e-07  1.242199e-07  
7.200000e-02   -3.168143e-09  1.000000e+02   -1.964249e-07  9.387135e-08  
7.300000e-02   -2.350954e-09  1.000000e+02   -1.457592e-07  7.060746e-08  
7.400000e-02   -1.737593e-09  1.000000e+02   -1.077308e-07  5.287419e-08  
7.500000e-02   -1.279213e-09  1.000000e+02   -7.931120e-08  3.942674e-08  
7.600000e-02   -9.380834e-10  1.000000e+02   -5.816117e-08  2.927871e-08  
7.700000e-02   -6.852408e-10  1.000000e+02   -4.248493e-08  2.165565e-08  
7.800000e-02   -4.985794e-10  1.000000e+02   -3.091192e-08  1.595431e-08  
7.900000e-02   -3.613159e-10  1.000000e+02   -2.240159e-08  1.170812e-08  
8.000000e-02   -2.607709e-10  1.000000e+02   -1.616780e-08  8.558558e-09  
8.100000e-02   -1.874097e-10  1.000000e+02   -1.161940e-08  6.231716e-09  
8.200000e-02   -1.340940e-10  1.000000e+02   -8.313827e-09  4.519407e-09  
8.300000e-02   -9.550220e-11  1.000000e+02   -5.921137e-09  3.264248e-09  
8.400000e-02   -6.768340e-11  1.000000e+02   -4.196371e-09  2.347775e-09  
8.500000e-02   -4.771594e-11  1.000000e+02   -2.958388e-09  1.681258e-09  
8.600000e-02   -3.344787e-11  1.000000e+02   -2.073768e-09  1.198416e-09  
8.700000e-02   -2.330031e-11  1.000000e+02   -1.444619e-09  8.501218e-10  
8.800000e-02   -1.611936e-11  1.000000e+02   -9.994003e-10  5.999254e-10  
8.900000e-02   -1.106502e-11  1.000000e+02   -6.860315e-10  4.209966e-10  
9.000000e-02   -7.528256e-12  1.000000e+02   -4.667519e-10  2.936247e-10  
9.100000e-02   -5.069258e-12  1.000000e+02   -3.142940e-10  2.034000e-10  
9.200000e-02   -3.371784e-12  1.000000e+02   -2.090506e-10  1.398490e-10  
9.300000e-02   -2.209429e-12  1.000000e+02   -1.369846e-10  9.529799e-11  
9.400000e-02   -1.420848e-12  1.000000e+02   -8.809256e-11  6.431833e-11  
9.500000e-02   -8.916199e-13  1.000000e+02   -5.528043e-11  4.287415e-11  
9.600000e-02   -5.410250e-13  1.000000e+02   -3.354355e-11  2.816591e-11  
9.700000e-02   -3.124372e-13  1.000000e+02   -1.937111e-11  1.818989e-11  
9.800000e-02   -1.663775e-13  1.000000e+02   -1.031540e-11  1.146816e-11  
9.900000e-02   -7.550847e-14  1.000000e+02   -4.681525e-12  7.005951e-12  
1.000000e-01   -2.104516e-14  1.000000e+02   -1.304800e-12  4.092726e-12  
