Time(s)        IT_calc(A)     VC_calc(V)     VR_calc(V)     VL_calc(V)    
1.000000e-03   8.913258e-01   4.644322e+00   1.782652e+01   7.752916e+01  
2.000000e-03   1.540967e+00   1.701756e+01   3.081934e+01   5.216309e+01  
3.000000e-03   1.934343e+00   3.460657e+01   3.868686e+01   2.670657e+01  
4.000000e-03   2.082548e+00   5.488495e+01   4.165097e+01   3.464084e+00  
5.000000e-03   2.016704e+00   7.554253e+01   4.033409e+01   -1.587661e+01 
6.000000e-03   1.781530e+00   9.465382e+01   3.563059e+01   -3.028441e+01 
7.000000e-03   1.428857e+00   1.107813e+02   2.857714e+01   -3.935849e+01 
8.000000e-03   1.011684e+00   1.230164e+02   2.023368e+01   -4.325007e+01 
9.000000e-03   5.791990e-01   1.309648e+02   1.158398e+01   -4.254882e+01 
1.000000e-02   1.730505e-01   1.346893e+02   3.461010e+00   -3.815029e+01 
1.100000e-02   -1.750299e-01  1.346206e+02   -3.500599e+00  -3.112005e+01 
1.200000e-02   -4.442820e-01  1.314527e+02   -8.885640e+00  -2.256702e+01 
1.300000e-02   -6.247938e-01  1.260319e+02   -1.249588e+01  -1.353603e+01 
1.400000e-02   -7.164265e-01  1.192539e+02   -1.432853e+01  -4.925418e+00 
1.500000e-02   -7.270548e-01  1.119740e+02   -1.454110e+01  2.567058e+00  
1.600000e-02   -6.704072e-01  1.049375e+02   -1.340814e+01  8.470646e+00  
1.700000e-02   -5.637703e-01  9.873267e+01   -1.127541e+01  1.254273e+01  
1.800000e-02   -4.257904e-01  9.376650e+01   -8.515807e+00  1.474931e+01  
1.900000e-02   -2.745509e-01  9.026083e+01   -5.491018e+00  1.523019e+01  
2.000000e-02   -1.260493e-01  8.826600e+01   -2.520985e+00  1.425498e+01  
2.100000e-02   6.863234e-03   8.768746e+01   1.372647e-01   1.217528e+01  
2.200000e-02   1.150659e-01   8.832046e+01   2.301318e+00   9.378218e+00  
2.300000e-02   1.933123e-01   8.988851e+01   3.866247e+00   6.245242e+00  
2.400000e-02   2.399997e-01   9.208116e+01   4.799995e+00   3.118841e+00  
2.500000e-02   2.566524e-01   9.458812e+01   5.133048e+00   2.788317e-01  
2.600000e-02   2.472180e-01   9.712707e+01   4.944359e+00   -2.071433e+00 
2.700000e-02   2.172731e-01   9.946402e+01   4.345463e+00   -3.809482e+00 
2.800000e-02   1.732274e-01   1.014255e+02   3.464548e+00   -4.890071e+00 
2.900000e-02   1.215957e-01   1.029033e+02   2.431913e+00   -5.335252e+00 
3.000000e-02   6.839390e-02   1.038523e+02   1.367878e+00   -5.220190e+00 
3.100000e-02   1.868858e-02   1.042830e+02   3.737715e-01   -4.656782e+00 
3.200000e-02   -2.368648e-02  1.042507e+02   -4.737296e-01  -3.776940e+00 
3.300000e-02   -5.625124e-02  1.038421e+02   -1.125025e+00  -2.717106e+00 
3.400000e-02   -7.785702e-02  1.031623e+02   -1.557140e+00  -1.605168e+00 
3.500000e-02   -8.854837e-02  1.023215e+02   -1.770967e+00  -5.505134e-01 
3.600000e-02   -8.934276e-02  1.014244e+02   -1.786855e+00  3.624460e-01  
3.700000e-02   -8.196282e-02  1.005619e+02   -1.639256e+00  1.077336e+00  
3.800000e-02   -6.855363e-02  9.980527e+01   -1.371073e+00  1.565806e+00  
3.900000e-02   -5.141335e-02  9.920327e+01   -1.028267e+00  1.824992e+00  
4.000000e-02   -3.275892e-02  9.878202e+01   -6.551784e-01  1.873162e+00  
4.100000e-02   -1.454152e-02  9.854660e+01   -2.908303e-01  1.744235e+00  
4.200000e-02   1.680657e-03   9.848448e+01   3.361313e-02   1.481903e+00  
4.300000e-02   1.481119e-02   9.856985e+01   2.962238e-01   1.133927e+00  
4.400000e-02   2.423029e-02   9.876829e+01   4.846059e-01   7.471082e-01  
4.500000e-02   2.976413e-02   9.904146e+01   5.952826e-01   3.632559e-01  
4.600000e-02   3.161958e-02   9.935127e+01   6.323916e-01   1.633389e-02  
4.700000e-02   3.029665e-02   9.966324e+01   6.059331e-01   -2.691699e-01 
4.800000e-02   2.649040e-02   9.994892e+01   5.298079e-01   -4.787271e-01 
4.900000e-02   2.099308e-02   1.001874e+02   4.198616e-01   -6.072688e-01 
5.000000e-02   1.460535e-02   1.003658e+02   2.921070e-01   -6.579272e-01 
5.100000e-02   8.062756e-03   1.004790e+02   1.612551e-01   -6.402667e-01 
5.200000e-02   1.981433e-03   1.005286e+02   3.962866e-02   -5.682588e-01 
5.300000e-02   -3.175628e-03  1.005217e+02   -6.351257e-02  -4.582273e-01 
