Time(s)        IT_calc(A)     VC_calc(V)     VR_calc(V)     VL_calc(V)    
1.000000e-03   6.218081e-01   3.650404e+00   6.218081e+01   3.416879e+01  
2.000000e-03   8.115738e-01   1.103401e+01   8.115738e+01   7.808610e+00  
3.000000e-03   8.305027e-01   1.932806e+01   8.305027e+01   -2.378324e+00 
4.000000e-03   7.853974e-01   2.743704e+01   7.853974e+01   -5.976777e+00 
5.000000e-03   7.195631e-01   3.496955e+01   7.195631e+01   -6.925857e+00 
6.000000e-03   6.502306e-01   4.181772e+01   6.502306e+01   -6.840783e+00 
7.000000e-03   5.839580e-01   4.798480e+01   5.839580e+01   -6.380599e+00 
8.000000e-03   5.229661e-01   5.351466e+01   5.229661e+01   -5.811272e+00 
9.000000e-03   4.677408e-01   5.846341e+01   4.677408e+01   -5.237487e+00 
1.000000e-02   4.180993e-01   6.288811e+01   4.180993e+01   -4.698036e+00 
1.100000e-02   3.736242e-01   6.684262e+01   3.736242e+01   -4.205037e+00 
1.200000e-02   3.338381e-01   7.037622e+01   3.338381e+01   -3.760035e+00 
1.300000e-02   2.982715e-01   7.353344e+01   2.982715e+01   -3.360591e+00 
1.400000e-02   2.664869e-01   7.635425e+01   2.664869e+01   -3.002949e+00 
1.500000e-02   2.380865e-01   7.887446e+01   2.380865e+01   -2.683109e+00 
1.600000e-02   2.127116e-01   8.112607e+01   2.127116e+01   -2.397227e+00 
1.700000e-02   1.900406e-01   8.313770e+01   1.900406e+01   -2.141761e+00 
1.800000e-02   1.697857e-01   8.493493e+01   1.697857e+01   -1.913502e+00 
1.900000e-02   1.516896e-01   8.654061e+01   1.516896e+01   -1.709562e+00 
2.000000e-02   1.355221e-01   8.797515e+01   1.355221e+01   -1.527354e+00 
2.100000e-02   1.210778e-01   8.925679e+01   1.210778e+01   -1.364566e+00 
2.200000e-02   1.081730e-01   9.040183e+01   1.081730e+01   -1.219127e+00 
2.300000e-02   9.664358e-02   9.142483e+01   9.664358e+00   -1.089189e+00 
2.400000e-02   8.634303e-02   9.233880e+01   8.634303e+00   -9.731003e-01 
2.500000e-02   7.714035e-02   9.315535e+01   7.714035e+00   -8.693845e-01 
2.600000e-02   6.891851e-02   9.388487e+01   6.891851e+00   -7.767231e-01 
2.700000e-02   6.157298e-02   9.453664e+01   6.157298e+00   -6.939377e-01 
2.800000e-02   5.501036e-02   9.511894e+01   5.501036e+00   -6.199759e-01 
2.900000e-02   4.914720e-02   9.563918e+01   4.914720e+00   -5.538971e-01 
3.000000e-02   4.390895e-02   9.610397e+01   4.390895e+00   -4.948612e-01 
3.100000e-02   3.922901e-02   9.651922e+01   3.922901e+00   -4.421174e-01 
3.200000e-02   3.504787e-02   9.689021e+01   3.504787e+00   -3.949953e-01 
3.300000e-02   3.131237e-02   9.722166e+01   3.131237e+00   -3.528956e-01 
3.400000e-02   2.797501e-02   9.751778e+01   2.797501e+00   -3.152830e-01 
3.500000e-02   2.499335e-02   9.778234e+01   2.499335e+00   -2.816792e-01 
3.600000e-02   2.232949e-02   9.801871e+01   2.232949e+00   -2.516570e-01 
3.700000e-02   1.994955e-02   9.822988e+01   1.994955e+00   -2.248347e-01 
3.800000e-02   1.782327e-02   9.841854e+01   1.782327e+00   -2.008712e-01 
3.900000e-02   1.592361e-02   9.858710e+01   1.592361e+00   -1.794618e-01 
4.000000e-02   1.422643e-02   9.873769e+01   1.422643e+00   -1.603342e-01 
4.100000e-02   1.271014e-02   9.887223e+01   1.271014e+00   -1.432454e-01 
4.200000e-02   1.135545e-02   9.899243e+01   1.135545e+00   -1.279779e-01 
4.300000e-02   1.014516e-02   9.909982e+01   1.014516e+00   -1.143376e-01 
4.400000e-02   9.063858e-03   9.919577e+01   9.063858e-01   -1.021512e-01 
4.500000e-02   8.097806e-03   9.928148e+01   8.097806e-01   -9.126362e-02 
4.600000e-02   7.234719e-03   9.935806e+01   7.234719e-01   -8.153648e-02 
4.700000e-02   6.463622e-03   9.942648e+01   6.463622e-01   -7.284609e-02 
4.800000e-02   5.774711e-03   9.948761e+01   5.774711e-01   -6.508195e-02 
4.900000e-02   5.159226e-03   9.954222e+01   5.159226e-01   -5.814533e-02 
5.000000e-02   4.609341e-03   9.959101e+01   4.609341e-01   -5.194804e-02 
5.100000e-02   4.118064e-03   9.963460e+01   4.118064e-01   -4.641127e-02 
5.200000e-02   3.679149e-03   9.967355e+01   3.679149e-01   -4.146462e-02 
5.300000e-02   3.287015e-03   9.970834e+01   3.287015e-01   -3.704521e-02 
5.400000e-02   2.936676e-03   9.973943e+01   2.936676e-01   -3.309682e-02 
5.500000e-02   2.623676e-03   9.976720e+01   2.623676e-01   -2.956927e-02 
5.600000e-02   2.344037e-03   9.979201e+01   2.344037e-01   -2.641769e-02 
5.700000e-02   2.094203e-03   9.981418e+01   2.094203e-01   -2.360202e-02 
5.800000e-02   1.870997e-03   9.983399e+01   1.870997e-01   -2.108645e-02 
5.900000e-02   1.671581e-03   9.985168e+01   1.671581e-01   -1.883900e-02 
6.000000e-02   1.493419e-03   9.986749e+01   1.493419e-01   -1.683108e-02 
6.100000e-02   1.334246e-03   9.988161e+01   1.334246e-01   -1.503718e-02 
6.200000e-02   1.192038e-03   9.989423e+01   1.192038e-01   -1.343447e-02 
6.300000e-02   1.064988e-03   9.990550e+01   1.064988e-01   -1.200259e-02 
6.400000e-02   9.514782e-04   9.991558e+01   9.514782e-02   -1.072332e-02 
6.500000e-02   8.500670e-04   9.992457e+01   8.500670e-02   -9.580396e-03 
6.600000e-02   7.594644e-04   9.993261e+01   7.594644e-02   -8.559290e-03 
6.700000e-02   6.785185e-04   9.993980e+01   6.785185e-02   -7.647017e-03 
6.800000e-02   6.062001e-04   9.994621e+01   6.062001e-02   -6.831976e-03 
6.900000e-02   5.415896e-04   9.995194e+01   5.415896e-02   -6.103805e-03 
7.000000e-02   4.838654e-04   9.995707e+01   4.838654e-02   -5.453244e-03 
7.100000e-02   4.322937e-04   9.996164e+01   4.322937e-02   -4.872022e-03 
7.200000e-02   3.862186e-04   9.996573e+01   3.862186e-02   -4.352748e-03 
7.300000e-02   3.450543e-04   9.996938e+01   3.450543e-02   -3.888819e-03 
7.400000e-02   3.082774e-04   9.997265e+01   3.082774e-02   -3.474338e-03 
7.500000e-02   2.754203e-04   9.997556e+01   2.754203e-02   -3.104033e-03 
7.600000e-02   2.460653e-04   9.997817e+01   2.460653e-02   -2.773197e-03 
7.700000e-02   2.198389e-04   9.998049e+01   2.198389e-02   -2.477621e-03 
7.800000e-02   1.964079e-04   9.998257e+01   1.964079e-02   -2.213549e-03 
7.900000e-02   1.754742e-04   9.998443e+01   1.754742e-02   -1.977623e-03 
8.000000e-02   1.567716e-04   9.998609e+01   1.567716e-02   -1.766842e-03 
8.100000e-02   1.400625e-04   9.998757e+01   1.400625e-02   -1.578527e-03 
8.200000e-02   1.251342e-04   9.998890e+01   1.251342e-02   -1.410283e-03 
8.300000e-02   1.117970e-04   9.999008e+01   1.117970e-02   -1.259971e-03 
8.400000e-02   9.988140e-05   9.999114e+01   9.988140e-03   -1.125680e-03 
8.500000e-02   8.923576e-05   9.999208e+01   8.923576e-03   -1.005702e-03 
8.600000e-02   7.972476e-05   9.999293e+01   7.972476e-03   -8.985113e-04 
