   Time             VI                IT                VC                VR              
  1.000000000E-03   7.703703635E+01   8.296296242E-01   6.370370333E+00   1.659259248E+01 
  2.000000000E-03   5.246419657E+01   1.415901220E+00   1.921777762E+01   2.831802440E+01 
  3.000000000E-03   2.821969724E+01   1.819320689E+00   3.539388716E+01   3.638641378E+01 
  4.000000000E-03   5.776913798E+00   1.989303744E+00   5.443700933E+01   3.978607488E+01 
  5.000000000E-03  -1.318954474E+01   1.952240589E+00   7.414473100E+01   3.904481179E+01 
  6.000000000E-03  -2.761178430E+01   1.748233944E+00   9.264710367E+01   3.496467889E+01 
  7.000000000E-03  -3.701568923E+01   1.425096577E+00   1.085137563E+02   2.850193153E+01 
  8.000000000E-03  -4.145750529E+01   1.032730604E+00   1.208028922E+02   2.065461208E+01 
  9.000000000E-03  -4.142455356E+01   6.183203098E-01   1.290581467E+02   1.236640620E+01 
  1.000000000E-02  -3.771527739E+01   2.226211551E-01   1.332628541E+02   4.452423101E+00 
  1.100000000E-02  -3.131295904E+01  -1.225200271E-01   1.337633597E+02  -2.450400542E+00 
  1.200000000E-02  -2.326545655E+01  -3.954121051E-01   1.311736990E+02  -7.908242101E+00 
  1.300000000E-02  -1.458058066E+01  -5.846422911E-01   1.262734271E+02  -1.169284582E+01 
  1.400000000E-02  -6.143631166E+00  -6.882633502E-01   1.199088989E+02  -1.376526700E+01 
  1.500000000E-02   1.339516672E+00  -7.122839227E-01   1.129061625E+02  -1.424567845E+01 
  1.600000000E-02   7.373258908E+00  -6.687200448E-01   1.060011427E+02  -1.337440090E+01 
  1.700000000E-02   1.167893502E+01  -5.734590752E-01   9.979024706E+01  -1.146918150E+01 
  1.800000000E-02   1.418103001E+01  -4.441592500E-01   9.470215543E+01  -8.883185000E+00 
  1.900000000E-02   1.497777210E+01  -2.983652394E-01   9.098953298E+01  -5.967304788E+00 
  2.000000000E-02   1.430151363E+01  -1.519688107E-01   8.873786273E+01  -3.039376215E+00 
  2.100000000E-02   1.247423325E+01  -1.809007633E-02   8.788756830E+01  -3.618015267E-01 
  2.200000000E-02   9.862981994E+00   9.359599987E-02   8.826509792E+01   1.871919997E+00 
  2.300000000E-02   6.839243700E+00   1.771071283E-01   8.961861356E+01   3.542142567E+00 
  2.400000000E-02   3.745126134E+00   2.300289775E-01   9.165429409E+01   4.600579550E+00 
  2.500000000E-02   8.681738394E-01   2.530954774E-01   9.406991636E+01   5.061909547E+00 
  2.600000000E-02  -1.574491254E+00   2.495638903E-01   9.658321320E+01   4.991277806E+00 
  2.700000000E-02  -3.442949978E+00   2.244766841E-01   9.895341607E+01   4.489533683E+00 
  2.800000000E-02  -4.673198250E+00   1.838959430E-01   1.009952792E+02   3.677918860E+00 
  2.900000000E-02  -5.269340310E+00   1.341832502E-01   1.025856752E+02   2.683665004E+00 
  3.000000000E-02  -5.291115752E+00   8.138096989E-02   1.036634963E+02   1.627619398E+00 
  3.100000000E-02  -4.838698605E+00   3.073189810E-02   1.042240606E+02   6.146379620E-01 
  3.200000000E-02  -4.036604637E+00  -1.364461811E-02   1.043094970E+02  -2.728923622E-01 
  3.300000000E-02  -3.018295858E+00  -4.891912059E-02   1.039966783E+02  -9.783824117E-01 
  3.400000000E-02  -1.912726796E+00  -7.357423386E-02   1.033842115E+02  -1.471484677E+00 
  3.500000000E-02  -8.336831949E-01  -8.730628381E-02   1.025798090E+02  -1.746125676E+00 
  3.600000000E-02   1.276355966E-01  -9.083652181E-02   1.016890949E+02  -1.816730436E+00 
  3.700000000E-02   9.067078755E-01  -8.566480445E-02   1.008065883E+02  -1.713296089E+00 
