   Time             IT                VI                VR                VC              
  1.000000000E-03   6.480663181E-01   5.470689687E+01   4.018011172E+01   5.112990760E+00 
  2.000000000E-03   9.694677195E-01   2.572854612E+01   6.010699861E+01   1.416445430E+01 
  3.000000000E-03   1.125881258E+00   5.554161663E+00   6.980463802E+01   2.464119919E+01 
  4.000000000E-03   1.125317628E+00  -5.666887699E+00   6.976969295E+01   3.589719362E+01 
  5.000000000E-03   1.040722304E+00  -1.125217717E+01   6.452478284E+01   4.672739328E+01 
  6.000000000E-03   9.174579696E-01  -1.340068969E+01   5.688239412E+01   5.651829465E+01 
  7.000000000E-03   7.827165504E-01  -1.354759416E+01   4.852842612E+01   6.501916725E+01 
  8.000000000E-03   6.519212182E-01  -1.261147228E+01   4.041911553E+01   7.219235610E+01 
  9.000000000E-03   5.330367365E-01  -1.116542407E+01   3.304827766E+01   7.811714587E+01 
  1.000000000E-02   4.294366789E-01  -9.554587464E+00   2.662507409E+01   8.292951295E+01 
  1.100000000E-02   3.417829649E-01  -7.976155329E+00   2.119054382E+01   8.678561116E+01 
  1.200000000E-02   2.692356232E-01  -6.533313012E+00   1.669260864E+01   8.984070410E+01 
  1.300000000E-02   2.102132180E-01  -5.271168034E+00   1.303321951E+01   9.223794831E+01 
  1.400000000E-02   1.628556592E-01  -4.200343727E+00   1.009705087E+01   9.410329270E+01 
  1.500000000E-02   1.252929475E-01  -3.312198601E+00   7.768162746E+00   9.554403573E+01 
  1.600000000E-02   9.578985146E-02  -2.588420611E+00   5.938970791E+00   9.664944972E+01 
  1.700000000E-02   7.281329823E-02  -2.006890036E+00   4.514424490E+00   9.749246547E+01 
  1.800000000E-02   5.505332431E-02  -1.545104748E+00   3.413306107E+00   9.813179859E+01 
  1.900000000E-02   4.141758377E-02  -1.182043361E+00   2.567890194E+00   9.861415313E+01 
  2.000000000E-02   3.101210606E-02  -8.990521815E-01   1.922750575E+00   9.897630157E+01 
  2.100000000E-02   2.311613072E-02  -6.801428864E-01   1.433200104E+00   9.924694276E+01 
  2.200000000E-02   1.715565478E-02  -5.119523001E-01   1.063650597E+00   9.944830169E+01 
  2.300000000E-02   1.267827222E-02  -3.835242119E-01   7.860528779E-01   9.959747132E+01 
  2.400000000E-02   9.330590041E-03  -2.860122246E-01   5.784965826E-01   9.970751563E+01 
  2.500000000E-02   6.838716082E-03  -2.123625672E-01   4.240003971E-01   9.978836216E+01 
  2.600000000E-02   4.991853560E-03  -1.570099372E-01   3.094949207E-01   9.984751501E+01 
  2.700000000E-02   3.628788359E-03  -1.156031030E-01   2.249848782E-01   9.989061822E+01 
  2.800000000E-02   2.626937840E-03  -8.476700080E-02   1.628701461E-01   9.992189685E+01 
  2.900000000E-02   1.893591850E-03  -6.190219715E-02   1.174026947E-01   9.994449950E+01 
  3.000000000E-02   1.358983939E-03  -4.501938507E-02   8.425700421E-02   9.996076238E+01 
  3.100000000E-02   9.708618072E-04  -3.260504125E-02   6.019343205E-02   9.997241161E+01 
  3.200000000E-02   6.902674241E-04  -2.351383537E-02   4.279658029E-02   9.998071725E+01 
  3.300000000E-02   4.882811140E-04  -1.688342664E-02   3.027342907E-02   9.998661000E+01 
  3.400000000E-02   3.435258171E-04  -1.206763274E-02   2.129860066E-02   9.999076903E+01 
  3.500000000E-02   2.402654293E-04  -8.584444824E-03   1.489645661E-02   9.999368799E+01 
  3.600000000E-02   1.669637668E-04  -6.075887661E-03   1.035175354E-02   9.999572413E+01 
  3.700000000E-02   1.151981753E-04  -4.277230645E-03   7.142286869E-03   9.999713494E+01 
  3.800000000E-02   7.884445617E-05  -2.993513180E-03   4.888356283E-03   9.999810516E+01 
  3.900000000E-02   5.346816069E-05  -2.081745919E-03   3.315025962E-03   9.999876672E+01 
  4.000000000E-02   3.587200552E-05  -1.437485112E-03   2.224064343E-03   9.999921342E+01 
  4.100000000E-02   2.376080602E-05  -9.847547887E-04   1.473169973E-03   9.999951158E+01 
  4.200000000E-02   1.549444786E-05  -6.685168438E-04   9.606557671E-04   9.999970786E+01 
  4.300000000E-02   9.906514672E-06  -4.490697934E-04   6.142039096E-04   9.999983487E+01 
  4.400000000E-02   6.171665497E-06  -2.979000416E-04   3.826432608E-04   9.999991526E+01 
  4.500000000E-02   3.709055998E-06  -1.946218578E-04   2.299614720E-04   9.999996466E+01 
  4.600000000E-02   2.112298414E-06  -1.247296583E-04   1.309625020E-04   9.999999377E+01 
  4.700000000E-02   1.098881569E-06  -7.795371232E-05   6.813065707E-05   1.000000098E+02 
  4.800000000E-02   4.738020177E-07  -4.706219757E-05   2.937572501E-05   1.000000177E+02 
  4.900000000E-02   1.035308043E-07  -2.699204585E-05   6.418909550E-06   1.000000206E+02 
  5.000000000E-02  -1.025343683E-07  -1.422098751E-05  -6.357130800E-06   1.000000206E+02 
  5.100000000E-02  -2.052183767E-07  -6.315814915E-06  -1.272353954E-05   1.000000190E+02 
  5.200000000E-02  -2.448417716E-07  -1.608863741E-06  -1.518018993E-05   1.000000168E+02 
  5.300000000E-02  -2.477230830E-07   1.032601759E-06  -1.535883115E-05   1.000000143E+02 
  5.400000000E-02  -2.307102195E-07   2.369970744E-06  -1.430403367E-05   1.000000119E+02 
  5.500000000E-02  -2.043167983E-07   2.908713654E-06  -1.266764150E-05   1.000000098E+02 
  5.600000000E-02  -1.748763657E-07   2.979372709E-06  -1.084233473E-05   1.000000079E+02 
  5.700000000E-02  -1.460092897E-07   2.794042331E-06  -9.052576075E-06   1.000000063E+02 
  5.800000000E-02  -1.196116231E-07   2.485491393E-06  -7.415920606E-06   1.000000049E+02 
  5.900000000E-02  -9.651387491E-08   2.134058434E-06  -5.983860163E-06   1.000000038E+02 
  6.000000000E-02  -7.691366465E-08   1.785983201E-06  -4.768647258E-06   1.000000030E+02 
  6.100000000E-02  -6.065485028E-08   1.465779363E-06  -3.760600862E-06   1.000000023E+02 
  6.200000000E-02  -4.740351110E-08   1.184488227E-06  -2.939017918E-06   1.000000018E+02 
  6.300000000E-02  -3.675553107E-08   9.451084253E-07  -2.278842942E-06   1.000000013E+02 
  6.400000000E-02  -2.829945886E-08   7.461066787E-07  -1.754566256E-06   1.000000010E+02 
  6.500000000E-02  -2.165073473E-08   5.836370747E-07  -1.342345698E-06   1.000000008E+02 
  6.600000000E-02  -1.646803489E-08   4.529033788E-07  -1.021018164E-06   1.000000006E+02 
  6.700000000E-02  -1.245871963E-08   3.489596310E-07  -7.724406430E-07   1.000000004E+02 
  6.800000000E-02  -9.378169221E-09   2.671500425E-07  -5.814466419E-07   1.000000003E+02 
  6.900000000E-02  -7.025802872E-09   2.033231823E-07  -4.355999295E-07   1.000000002E+02 
  7.000000000E-02  -5.239650944E-09   1.539085872E-07  -3.248580782E-07   1.000000002E+02 
  7.100000000E-02  -3.890527359E-09   1.159143892E-07  -2.412129732E-07   1.000000001E+02 
  7.200000000E-02  -2.876544218E-09   8.688263620E-08  -1.783458856E-07   1.000000001E+02 
  7.300000000E-02  -2.118005885E-09   6.482578385E-08  -1.313162841E-07   1.000000001E+02 
  7.400000000E-02  -1.553092507E-09   4.815666443E-08  -9.629171416E-08   1.000000000E+02 
  7.500000000E-02  -1.134197445E-09   3.562178108E-08  -7.032039662E-08   1.000000000E+02 
  7.600000000E-02  -8.248915060E-10   2.624004480E-08  -5.114323187E-08   1.000000000E+02 
  7.700000000E-02  -5.974462190E-10   1.924982485E-08  -3.704136020E-08   1.000000000E+02 
  7.800000000E-02  -4.308721077E-10   1.406409922E-08  -2.671404786E-08   1.000000000E+02 
  7.900000000E-02  -3.093838662E-10   1.023322227E-08  -1.918188275E-08   1.000000000E+02 
  8.000000000E-02  -2.211433619E-10   7.414939773E-09  -1.371095948E-08   1.000000000E+02 
  8.100000000E-02  -1.573211234E-10   5.350074161E-09  -9.753790664E-09   1.000000000E+02 
  8.200000000E-02  -1.113543394E-10   3.843425134E-09  -6.903817962E-09   1.000000000E+02 
  8.300000000E-02  -7.839459333E-11   2.748635097E-09  -4.860282843E-09   1.000000000E+02 
  8.400000000E-02  -5.486740619E-11   1.956351525E-09  -3.401737558E-09   1.000000000E+02 
  8.500000000E-02  -3.816052834E-11   1.385501491E-09  -2.365752039E-09   1.000000000E+02 
  8.600000000E-02  -2.634950092E-11   9.759730801E-10  -1.633708280E-09   1.000000000E+02 
  8.700000000E-02  -1.805196617E-11   6.834994792E-10  -1.119261128E-09   1.000000000E+02 
  8.800000000E-02  -1.225487268E-11   4.756657290E-10  -7.599254559E-10   1.000000000E+02 
  8.900000000E-02  -8.236548379E-12   3.287397021E-10  -5.105533774E-10   1.000000000E+02 
  9.000000000E-02  -5.461668444E-12   2.254409992E-10  -3.387583547E-10   1.000000000E+02 
  9.100000000E-02  -3.571090906E-12   1.531930138E-10  -2.213766948E-10   1.000000000E+02 
  9.200000000E-02  -2.290377089E-12   1.030571184E-10  -1.419380169E-10   1.000000000E+02 
  9.300000000E-02  -1.433179747E-12   6.849631973E-11  -8.876099855E-11   1.000000000E+02 
  9.400000000E-02  -8.639736062E-13   4.484945748E-11  -5.363176570E-11   1.000000000E+02 
  9.500000000E-02  -4.946672412E-13   2.879119165E-11  -3.079492217E-11   1.000000000E+02 
  9.600000000E-02  -2.608861478E-13   1.806199634E-11  -1.627142865E-11   1.000000000E+02 
  9.700000000E-02  -1.219727444E-13   1.094235813E-11  -7.275957614E-12   1.000000000E+02 
  9.800000000E-02  -3.388131789E-14   6.366462912E-12  -1.918465387E-12   1.000000000E+02 
  9.900000000E-02   1.694065895E-14   3.410605132E-12   1.108446668E-12   1.000000000E+02 
  1.000000000E-01   4.404571326E-14   1.563194019E-12   2.657429832E-12   1.000000000E+02 
