   Time             VI                IT                VC                VR              
  1.000000000E-03   4.192421365E+01   5.374899196E-01   4.326793855E+00   5.374899196E+01 
  2.000000000E-03   1.468744276E+01   7.395722610E-01   1.135533040E+01   7.395722610E+01 
  3.000000000E-03  -2.748769643E-01   8.116350900E-01   1.911136715E+01   8.116350900E+01 
  4.000000000E-03  -5.407814708E+00   7.832216317E-01   2.708565076E+01   7.832216317E+01 
  5.000000000E-03  -6.820280814E+00   7.220811540E-01   3.461216469E+01   7.220811540E+01 
  6.000000000E-03  -6.859308104E+00   6.536832094E-01   4.149098651E+01   6.536832094E+01 
  7.000000000E-03  -6.422953034E+00   5.872719038E-01   4.769576207E+01   5.872719038E+01 
  8.000000000E-03  -5.851555192E+00   5.258993626E-01   5.326161840E+01   5.258993626E+01 
  9.000000000E-03  -5.271135926E+00   4.702859070E-01   5.824254475E+01   4.702859070E+01 
  1.000000000E-02  -4.725671203E+00   4.203018714E-01   6.269548364E+01   4.203018714E+01 
  1.100000000E-02  -4.228008191E+00   3.755334744E-01   6.667466037E+01   3.755334744E+01 
  1.200000000E-02  -3.779435144E+00   3.354962577E-01   7.022980903E+01   3.354962577E+01 
  1.300000000E-02  -3.377176548E+00   2.997131993E-01   7.340585632E+01   2.997131993E+01 
  1.400000000E-02  -3.017239883E+00   2.677411171E-01   7.624312790E+01   2.677411171E+01 
  1.500000000E-02  -2.695475467E+00   2.391775404E-01   7.877772119E+01   2.391775404E+01 
  1.600000000E-02  -2.407951623E+00   2.136604049E-01   8.104191092E+01   2.136604049E+01 
  1.700000000E-02  -2.151069539E+00   1.908652991E-01   8.306453944E+01   1.908652991E+01 
  1.800000000E-02  -1.921580985E+00   1.705020465E-01   8.487137616E+01   1.705020465E+01 
  1.900000000E-02  -1.716571419E+00   1.523112845E-01   8.648544282E+01   1.523112845E+01 
  2.000000000E-02  -1.533432297E+00   1.360612659E-01   8.792730557E+01   1.360612659E+01 
  2.100000000E-02  -1.369831466E+00   1.215449471E-01   8.921533664E+01   1.215449471E+01 
  2.200000000E-02  -1.223684855E+00   1.085773655E-01   9.036594820E+01   1.085773655E+01 
  2.300000000E-02  -1.093130459E+00   9.699328891E-02   9.139380147E+01   9.699328891E+00 
  2.400000000E-02  -9.765048175E-01   8.664511253E-02   9.231199348E+01   8.664511253E+00 
  2.500000000E-02  -8.723219045E-01   7.740097892E-02   9.313222394E+01   7.740097892E+00 
  2.600000000E-02  -7.792542201E-01   6.914309830E-02   9.386494432E+01   6.914309830E+00 
  2.700000000E-02  -6.961158886E-01   6.176624775E-02   9.451949105E+01   6.176624775E+00 
  2.800000000E-02  -6.218475528E-01   5.517643055E-02   9.510420444E+01   5.517643055E+00 
  2.900000000E-02  -5.555028768E-01   4.928967840E-02   9.562653499E+01   4.928967840E+00 
  3.000000000E-02  -4.962364887E-01   4.403098157E-02   9.609313829E+01   4.403098157E+00 
  3.100000000E-02  -4.432932086E-01   3.933333309E-02   9.650995986E+01   3.933333309E+00 
  3.200000000E-02  -3.959984267E-01   3.513687491E-02   9.688231090E+01   3.513687491E+00 
  3.300000000E-02  -3.537495069E-01   3.138813524E-02   9.721493595E+01   3.138813524E+00 
  3.400000000E-02  -3.160081081E-01   2.803934717E-02   9.751207336E+01   2.803934717E+00 
  3.500000000E-02  -2.822933246E-01   2.504784000E-02   9.777750930E+01   2.504784000E+00 
  3.600000000E-02  -2.521755584E-01   2.237549559E-02   9.801462598E+01   2.237549559E+00 
  3.700000000E-02  -2.252710451E-01   1.998826257E-02   9.822644477E+01   1.998826257E+00 
  3.800000000E-02  -2.012369639E-01   1.785572253E-02   9.841566469E+01   1.785572253E+00 
  3.900000000E-02  -1.797670696E-01   1.595070236E-02   9.858469682E+01   1.595070236E+00 
  4.000000000E-02  -1.605877901E-01   1.424892806E-02   9.873569497E+01   1.424892806E+00 
